"symbol";"companyname";"primaryexchange";"calculationprice";"open";"opentime";"close";"closetime";"high";"low";"latestprice";"latestsource";"latesttime";"latestupdate";"latestvolume";"iexrealtimeprice";"iexrealtimesize";"iexlastupdated";"delayedprice";"delayedpricetime";"extendedprice";"extendedchange";"extendedchangepercent";"extendedpricetime";"previousclose";"previousvolume";"changed";"changepercent";"volume";"iexmarketpercent";"iexvolume";"avgtotalvolume";"iexbidprice";"iexbidsize";"iexaskprice";"iexasksize";"marketcap";"peratio";"week52high";"week52low";"ytdchange";"lasttradetime";"isusmarketopen";"type";"runtimestamp"
"EVH";"Evolent Health, Inc.";"New York Stock Exchange";"previousclose";10.66;1574865000419.0;7.76;1574888405374.0;10.78;5.67;7.76;"Previous close";"November 27, 2019";1574830800000.0;15268097.0;0.0;0.0;0.0;7.73;1574891325519.0;0.0;0.0;0.0;1574902763281.0;7.76;15273290.0;0.0;0.0;15268097.0;0.0;0.0;1588813.0;0.0;0.0;0.0;0.0;656575718.0;-5.21;26.95;5.5;-0.606091;1574888405372.0;"false";"losers";1575007515582.0
"CENT";"Central Garden & Pet Co.";"NASDAQ";"previousclose";25.0;1574865000242.0;25.88;1574888400005.0;27.48;24.8;25.88;"Previous close";"November 27, 2019";1574830800000.0;408377.0;0.0;0.0;0.0;26.05;1574888783198.0;0.0;0.0;0.0;1574897624106.0;25.88;408880.0;0.0;0.0;408377.0;0.0;0.0;82424.0;0.0;0.0;0.0;0.0;1494763117.0;15.94;40.59;22.4;-0.259302;1574888400003.0;"false";"losers";1575007515582.0
"CENTA";"Central Garden & Pet Co.";"NASDAQ";"previousclose";25.7;1574865000796.0;24.51;1574888400493.0;25.7;23.5;24.51;"Previous close";"November 27, 2019";1574830800000.0;1504585.0;0.0;0.0;0.0;24.6;1574890297094.0;0.0;0.0;0.0;1574900846912.0;24.51;1504631.0;0.0;0.0;1504585.0;0.0;0.0;236571.0;0.0;0.0;0.0;0.0;1415635394.0;15.1;36.92;20.5;-0.226814;1574888400493.0;"false";"losers";1575007515583.0
"ETNB";"89bio, Inc.";"NASDAQ";"previousclose";0.0;0.0;0.0;0.0;0.0;0.0;30.12;"Previous close";"November 27, 2019";1574830800000.0;111715.0;0.0;0.0;0.0;0.0;1574891346491.0;30.12;0.0;0.0;1574891346491.0;30.12;111715.0;0.0;0.0;111715.0;0.0;0.0;130482.0;0.0;0.0;0.0;0.0;391349160.0;0.0;46.19;16.6;0.448077;1574888400231.0;"false";"losers";1575007515583.0
"VRCA";"Verrica Pharmaceuticals, Inc.";"NASDAQ";"previousclose";17.85;1574865000315.0;15.71;1574888400618.0;17.85;14.7;15.71;"Previous close";"November 27, 2019";1574830800000.0;223829.0;0.0;0.0;0.0;15.7;1574891220057.0;0.0;0.0;0.0;1574893042299.0;15.71;223830.0;0.0;0.0;223829.0;0.0;0.0;74500.0;0.0;0.0;0.0;0.0;404925250.0;-13.88;18.67;6.44;0.976101;1574888400618.0;"false";"losers";1575007515583.0
"ENOB";"Enochian Biosciences, Inc.";"NASDAQ";"previousclose";6.56;1574865000794.0;5.96;1574888400511.0;6.56;5.7;5.96;"Previous close";"November 27, 2019";1574830800000.0;121710.0;0.0;0.0;0.0;5.96;1574888400511.0;0.0;0.0;0.0;1574896473737.0;5.96;121912.0;0.0;0.0;121710.0;0.0;0.0;116479.0;0.0;0.0;0.0;0.0;275793040.0;-10.67;9.5;2.91;-0.146132;1574888400511.0;"false";"losers";1575007515583.0
"DAKT";"Daktronics, Inc.";"NASDAQ";"previousclose";6.65;1574865000697.0;6.28;1574888400397.0;6.65;6.1;6.28;"Previous close";"November 27, 2019";1574830800000.0;587334.0;0.0;0.0;0.0;6.28;1574890113156.0;0.0;0.0;0.0;1574894492647.0;6.28;587337.0;0.0;0.0;587334.0;0.0;0.0;111305.0;0.0;0.0;0.0;0.0;282293536.0;1697.3;9.14;5.77;-0.146739;1574888400397.0;"false";"losers";1575007515583.0
"MCRB";"Seres Therapeutics, Inc.";"NASDAQ";"previousclose";0.0;0.0;0.0;0.0;0.0;0.0;3.9;"Previous close";"November 27, 2019";1574830800000.0;159801.0;0.0;0.0;0.0;0.0;1574888403277.0;3.9;0.0;0.0;1574888403272.0;3.9;159801.0;0.0;0.0;159801.0;0.0;0.0;192882.0;0.0;0.0;0.0;0.0;272976600.0;-2.46;8.82;2.02;-0.192547;1574888403277.0;"false";"losers";1575007515583.0
"TTGT";"TechTarget, Inc.";"NASDAQ";"previousclose";28.78;1574865000841.0;26.53;1574888400303.0;29.07;25.51;26.53;"Previous close";"November 27, 2019";1574830800000.0;532141.0;0.0;0.0;0.0;26.53;1574890596330.0;0.0;0.0;0.0;1574894252273.0;26.53;532145.0;0.0;0.0;532141.0;0.0;0.0;151893.0;0.0;0.0;0.0;0.0;733607560.0;47.77;30.0;11.12;1.176374;1574888400303.0;"false";"losers";1575007515583.0
"SRRK";"Scholar Rock Holding Corp.";"NASDAQ";"previousclose";0.0;0.0;0.0;0.0;0.0;0.0;9.01;"Previous close";"November 27, 2019";1574830800000.0;67025.0;0.0;0.0;0.0;0.0;1574888415030.0;9.01;0.0;0.0;1574888415030.0;9.01;67025.0;0.0;0.0;67025.0;0.0;0.0;81834.0;0.0;0.0;0.0;0.0;267398780.0;-4.45;29.99;6.95;-0.58287;1574888415030.0;"false";"losers";1575007515583.0
